,year,country,continent,population,fertility,life expectancy
530,1952,Netherlands,Europe,10275701.0,3.09,72.12
533,1952,New Zealand,Australia and Oceania,1992619.0,3.32,69.4
534,1952,Nicaragua,North America,1371525.0,7.16,44.18
535,1952,Niger,Africa,2717047.0,6.88,35.72
536,1952,Nigeria,Africa,39049831.0,6.35,35.74
537,1952,Norway,Europe,3333895.0,2.61,72.72
538,1952,Oman,Asia,469350.0,7.25,36.78
539,1952,Pakistan,Asia,38485341.0,6.6,38.07
540,1952,Panama,North America,904387.0,5.75,56.99
541,1952,Papua New Guinea,Australia and Oceania,1750883.0,6.24,34.53
542,1952,Paraguay,South America,1550763.0,6.5,64.16
543,1952,Peru,South America,8128525.0,6.85,44.43
544,1952,Philippines,Asia,19945659.0,7.43,55.83
545,1952,Poland,Europe,25738253.0,3.65,60.87
546,1952,Portugal,Europe,8473628.0,3.1,59.81
548,1952,Qatar,Asia,29843.0,6.97,54.67
550,1952,Romania,Europe,16764920.0,3.34,61.07
552,1952,Rwanda,Africa,2313306.0,7.98,40.32
555,1952,Samoa,Australia and Oceania,86818.0,7.63,46.69
556,1952,Sao Tome and Principe,Africa,58525.0,6.2,46.54
557,1952,Saudi Arabia,Asia,3283299.0,7.18,42.89
558,1952,Senegal,Africa,2586817.0,6.54,35.39
559,1952,Serbia,Europe,6963396.0,3.27,59.11
560,1952,Seychelles,Africa,37438.0,5.01,57.43
561,1952,Sierra Leone,Africa,1983321.0,5.74,32.13
562,1952,Singapore,Asia,1120277.0,6.62,59.54
564,1952,Slovenia,Europe,1491673.0,2.61,65.28
565,1952,Solomon Islands,Australia and Oceania,94079.0,6.4,45.97
566,1952,Somalia,Africa,2351811.0,7.25,34.6
567,1952,South Africa,Africa,14322409.0,6.31,44.67
568,1952,Spain,Europe,28430442.0,2.51,64.92
569,1952,Sri Lanka,Asia,8338783.0,5.9,54.34
570,1952,Sudan,Africa,6039086.0,6.65,45.08
571,1952,Suriname,South America,229653.0,6.56,56.24
572,1952,Swaziland,Africa,285338.0,6.7,41.51
573,1952,Sweden,Europe,7125539.0,2.24,71.84
574,1952,Switzerland,Europe,4788958.0,2.3,69.63
575,1952,Syria,Asia,3595227.0,7.21,48.44
577,1952,Tajikistan,Asia,1624542.0,5.97,53.4
578,1952,Tanzania,Africa,8055911.0,6.73,42.19
579,1952,Thailand,Asia,21837991.0,6.14,51.5
581,1952,Togo,Africa,1441908.0,6.33,35.42
582,1952,Tonga,Australia and Oceania,51171.0,7.3,58.35
